restaurant,top_choices
miro-los-angeles, [Wood-Grilled Octopus, Strozzapreti, Yellowtail Crudo, Wood Roasted Pork Chop, Gorgonzola & Bacon, Lamb Sausage, 38oz Bone-In Rib Eye, Roasted Bone Marrow, Lamb Kofta Tagine, Wood-Grilled Peach]
the-chairman-los-angeles, [Fries, Pork Belly Steamed Bun, Spicy Chicken Noodle Bowl, Spicy Chicken Salad Bowl, Pork Belly Baked Bun, Spicy Chicken Rice Bowl, Pork Belly Noodle Bowl, Rice Pudding, Spicy Chicken Steamed Bun, Spicy Chicken Baked Bun]
dinos-chicken-and-burgers-los-angeles, [1/2 Chicken, French Fries, Coleslaw & Tortillas, Cheeseburger, 1/2 Chicken, Rice, Beans, Coleslaw & Tortillas, Double Cheeseburger, Wet Burrito, Asada Burrito, Grilled Cheese, 1/2 Chicken, Rice, Beans, Salad & Tortillas, Pastrami Burrito, Veggie Burrito]
lab-coffee-and-roasters-los-angeles, [Americano, Espresso, Cappuccino, Earl Grey Macchiato, Macchiato, Costa Rica Coffee, Earl Grey, Ethiopia Coffee]
poke-2-go-los-angeles-2, [Spicy Poke, Aloha Poke, Aloha Poke and Rice, Avocado, Original Poke and Rice, Original Poke, Wasabi Poke]
sapp-coffee-shop-los-angeles, [Bbq Chicken, Larb, Yen Ta Fo, Bbq Pork With Rice, Grilled Beef, Noodle Soup With Pork Balls, Plah Nam, Pork Leg With Rice, Roast Duck With Rice, Beef Tendon Soup]
papis-pizzeria-los-angeles, [Pizza Slice, Bianca Pizza, Zapata Pizza, Pesto Chicken Pizza, Baby Mixed Green Salad, Vegan Pizza, Classic Margherita Pizza, Cheese Pizza, Oven-Baked Potato Wedges, Carmelita Pizza]
the-heights-deli-and-bottle-shop-los-angeles, [The Heights Sub, Chicken Parm Sub, Main St Sub, Truffle Fries, Carbonara, The Broadway Sub, Eggplant Parm Sub, Eggplant Parm Pasta, Sausage and Peppers Pasta, Caprese Salad]
alcove-cafe-and-bakery-los-angeles, [Sweet Potato Fries, Guacamole, Soup, Grilled Chicken, Crab Cake Sandwich, Cuban Sandwich, Blackened Salmon Sandwich, Tuna Melt, Blackened Salmon Tacos, Grilled Vegetable Salad]
jist-cafe-los-angeles, [Chashu Hash Skillet, 2 Eggs, Stumptown Coffee, Breakfast Potatoes, Super Huge Breakfast Burrito, Water, Strawberry Shortcake Pancakes, The Hangover Killer, The Fancy French, The Angeleno Veg]
food-haus-café-los-angeles, [Truffle Fries, Bleu Burger, Tea, South Central Fries, Blacklisted Sandwich, Burger 24, Coffee, Laos Wings, Haus Fries, Mrs Caesar Salad]
mesón-cafe-los-angeles, [Coffee, Turkey Sandwich, Hot Bowl, Ham Sandwich, Latte, Breakfast Bowl, Iced Coffee, Chicken Sandwich, California Avocado Toast, Tuna Sandwich]
panini-cafe-downtown-los-angeles-2, [Hummus, Hummus Trio, Chicken Wrap, Salmon Panini, Salmon Kabob, Romaine Avocado Salad, Chicken Shish Kabob, Stuffed Eggplant, Caesar Salad, Banana Bread Pudding]
seoul-garden-restaurant-los-angeles, [Roast Gui, Mandoo Gook, Galbi, Coke, Yook Gae Jang, Hwe Dup Bahp, Extra Buckwheat Noodles, Hwe Nengmyun, Wagyu Jing-Gee Skhan  Porridge, Turkey Jing-Gee Skhan  Porridge]
eightytwo-los-angeles-2, [Princess Peach, n00b, Thai Tai, Zangief, Pinky, Racer 5, P.O.W., Miller High Life, Julian Hard Cider, Cold Brew Coffee]
okipoki-los-angeles, [Okipoki 101, Hama Time, Bang Bang, Lomi Lomi, Straight Outta Tofu]
sushi-of-gari-hollywood-los-angeles-2, [Salmon, Uni, Tuna, Tai, Fresh Salmon with Sauteed Tomato & Sweet Onion Sauce Roll, Spicy Tuna, Sake, Yellowtail w/Scallion, Fresh Salmon with Sauteed Tomato & Sweet Onion Sauce, Botan Ebi]
curry-king-los-angeles, [Garlic Naan, Chicken Tikka, Chicken Tikka Masala, Saag Paneer, Samosas, Goat Curry, Lamb Curry, Chicken Curry, Tandoori Chicken, Lamb Vindaloo]
good-greek-grill-los-angeles, [Gyro, Baklava Bites, Greek Salad, Feta Fries, Tzatziki Sauce, Spicy Feta Fries, Platter, Saganaki Bites, Greek Fries, Zeus Fries]
seasalt-fish-grill-los-angeles-3, [Churro Waffle 1, Mahi Mahi GF, Spicy Poke Bowl, Beer Battered Fish n Chips, Ahi Tuna GF, Salmon Poke, Grilled Fish Taco Plate, Southwest Quinoa Kale Salad, Classic Fish Taco Plate, Barramundi GF]
ocho-mexican-grill-los-angeles, [Bowl, Burrito, Salad, Shrimp, Tacos, Cilantro Lime, Carnitas, Chips, Southwest, Grilled Mahi]
the-factory-kitchen-los-angeles, [Prosciutto, Mandilli Di Seta, Cannoli, Porchetta, Peperu, Pappardelle, Modenesi, Hot Chocolate, Casonzei, Cremosella]
au-lac-los-angeles-2, [Ito Burrito (Raw), Chocoholic, Curried Rice (Raw), Sweet & Spicy Tempeh, Garlic Basil, Crimini Pesto*, Coconut Juice, Bun 33 (Raw), Cheezy Lime Popcorn, Baklava (Raw)]
mrs-sippee-los-angeles-4, [Asada Taco, Asada Burrito]
tacos-baja-ensenada-los-angeles-2, [Tacos, Burritos, Baja's Taco, Campechana, Shrimp Quesadilla Plate, Quesadillas, Mixed Seafood Soup, Camaron, Tostada Ceviche De Pescado, Caldo De Pescado]
chi-spacca-los-angeles, [Beef & Bone Marrow Pie, Focaccia di Recco, Tomahawk Porkchop, Roasted Cauliflower, Grilled Octopus, Pane Bianco, Mashed Potatoes, Salumi, Pickles, "Moorish" Lamb Shoulder Chop]
dune-los-angeles, [Falafel, Lamb**, Hummus, Pickled Beets, Hummus & Falafel, House Flat Bread, Rosewater Dates, Tabouleh, Pastured Raised Lamb, House Pickles]
sixth-st-tavern-los-angeles, [Brussels Sprouts, Best Cheese Fries, Bistro Burger, Grilled Cheese Sandwich, Crispy Chicken Sandwich, Fried Chicken Salad, Classic Burger, French Dip, Steak and Fries, Broccolini]
yupdduk-olympic-los-angeles, [Yup Dduk, Chicken Feet, B Set, A Set, Boneless Chicken Feet, Yup Oh, Banana Milk, Seaweed Rice Ball, Spam Mayo Jumbo Rice Ball]
yangji-gamjatang-los-angeles-2, [Yangji Bibimbap, Bulgogi, Gamjatang Geongol, Gamjatang Soup Pork, Bibim Naengmyeon, Korean Fried Dumpling, Dak Bulgogi, Tteokbokki, Tonkatsu, Sweet and Sour Pork]
zinc-cafe-and-market-los-angeles-5, [Asparagus Sandwich Lunch, Hot Chocolate, Asparagus Sandwich Dinner, Pappardelle with Bitter Greens Lunch, Flourless Chocolate Cake Dinner, Flourless Chocolate Cake Lunch, White Chocolate Latte, Iced White Chocolate Latte, Iced Tea, Milk]
plan-check-kitchen-bar-los-angeles-5, [Fries, Southern Fry, Chefs Favorite Burger, Sweet Potato Waffle Fries, Stuffed Mushroom, Pcb (Plan Check Burger), Beast Fries, Smokey Fried Chicken, Pastrami Nosh, Cruller Donuts]
birdies-los-angeles, [Birdies Breakfast Sandwich, Hot Chocolate, Coffee, Lemon Thyme Pistachio, Birdies Spicy, Cinnamon Toast Crunch, Latte, Birdies Bites, Horchata Twist with Dulce De Leche, Birdies Original]
natures-brew-los-angeles, [Coffee, Latte, Chai, Hot Chocolate, Espresso, Meatball Sandwich Lunch, Cold Brew, Noa s Breakfast Smoothie, Green Goddess Smoothie, Vanilla Sky Smoothie]
chego-los-angeles-5, [Ooey Gooey Fries, Chubby Pork Belly, The Beefy T, The Leafy T, Sour Cream Hen House, Kimchi Spam Bowl, Tres Leches, Kung Pau Noodle Bowl, Tiny's Prime Rib Rice Plate, The Chego Burger Exhibit A]
sidewalk-grill-los-angeles, [Hummus, Greek Salad, Mediterranean Salad, Hot Potatoes, BBQ Chicken Wrap, Tomato Soup, Babaganoush, 3 Grilled Salmon, Cran Ginger Salad, Tzatziki]
seafood-express-los-angeles-2, [Sweet and Spicy Chicken Wings, Jumbo Louisiana Shrimp, Fish and Chips, Sweet and Sour Chicken, Honey Shrimp, Shrimp Taco, Thai Seafood Soup, Shrimp Salad, Golden Shrimp Fajita, BBQ Ribs Plate]
cafecito-organico-los-angeles, [Twice Monthly Coffee Subscription]
la-luz-del-dia-los-angeles-4, [Carnitas, Rice, Champurrado, Sweet, Beans, Chicken, Pork, Nopales, Horchata, Picadillo]
cancun-ole-los-angeles, [Seco de Chivo, Seco de Gallina, Guatita, Caldo de Pescado, Arroz Marinero, Encebollado de Pescado, Lomito Saltado, Yapingacho, Bollo de Pescado, Morocho]
leos-tacos-truck-los-angeles-3, [Tacos, Al Pastor, Asada, Quesadillas, Burritos, Pollo, Chorizo, Cabeza, Carnitas, Tortas]
glorias-café-hp-los-angeles-2, [Glorious Delicious Flan, Shrimp, Black Beans]
tomato-pie-pizza-joint-los-angeles-4, [The Grandma, Tomato Pie, Mr. White, Pesto, Joe P., Garlic Knots, Gluten-Free, Pesto Pie, Sicilian, Eggplant Parmigiana Pizza]
taqueria-vista-hermosa-los-angeles, [Tacos, Shrimp Fajitas, Pambaso, Burritos, Huarache, Fresh Fish Taco, Shrimp In Garlic, Nachos, Tarazcan Soup, Stew Shrimp]
the-vegan-joint-los-angeles-4, [Brown Rice, Chicken Sandwich, Garlic Chicken Wrap, Spicy Mint Noodles, Garlic Fries, Pumpkin Curry, Pineapple Curry, Tacos, Sweet Potato Fries, Garlic Chicken Burger]
eat-drink-americano-los-angeles-2, [Pastrami, Meat, Olives, Wedge Salad, Steak Tartare With Mustard Ice Cream*, Southwest Chicken, Southwest Chicken Sandwich, Mushroom With Egg*, Popeye & Olive Oil, Garden Fresh]
la-pergoletta-los-angeles-4, [Tiramis, Bruschetta Parma and Brie, Cannoli, Pappardelle Boscaiola, Fettuccine Lunch, Cappuccino, Lasagna Bolognese, Bruschetta di Burrata, Fettuccine Nero di Seppia Ai Frutti di Mare, Panna Cotta con Nutella]
flemings-prime-steakhouse-and-wine-bar-los-angeles, [Dessert, Fleming's Potatoes, The Prime Rib Dip*, The Prime Burger*, Creme Brulee, Fleming's Salad, Sweet Chile Calamari, Creamed Spinach, Prime Rib Dinner*, Baked Potato]
cicada-restaurant-los-angeles, [Risotto, Chocolate Molten Cake, Braised Short Ribs, Tiger Shrimp Stuffed, Filet Mignon, Cicada Club Chocolate Molten Cake, New York Steak, Grilled Veal Chop, Berry Martini, Tuna Tartar]
sushi-gen-los-angeles, [Rice, Sashimi, Soup, Pickle, Monkfish Liver, Sashimi Deluxe, Sushi Deluxe, Salmon Skin Salad, White Fish, Fresh Water Eel]
tips-house-los-angeles, [Spicy Seafood Soup*, Egg Roll (6), Fried Wonton (12), Tom Yum Kai*, B.b.q. Pork Spare Rib, Tom Kar Kai*, Yum Yai, Wonton Soup, Meat Ball Noodle Soup, Thai Salad]
urth-caffé-downtown-los-angeles, [Spanish Latte, Pesto, Pumpkin Pie, Spanish Latte Granita, Honey Vanilla Latte, Chicken Curry, Chicken Curry Salad, Espresso, Japanese Tea Latte, Curry Chicken]
batavia-by-barista-society-los-angeles-3, [Hot Casanova Latte (12oz)]
spitz-little-tokyo-los-angeles-2, [Sweet Potato Fries, Street -cart Fries, Steet Cart (free), Thin, Mediterranean, The Classic Doner, Gelato, The Chicken Doner, Lavash Wrap, The Veg]
stumptown-coffee-los-angeles, [Stumptown & Mast Brothers, Ethiopia Duromina, Stumptown Blend Trio, Rwanda Huye Mountain, Latin American Coffee Trio, Holler Mountain Blend, French Roast, House Blend, Hair Bender]
l-and-e-oyster-bar-los-angeles, [Oysters, Clam Chowder, The Daily Dozen, Fried Oysters, Mussels, Wedge, Fries, Rockefeller, Casino, Onion Rings]
pieology-pizzeria-los-angeles-5, [Caesar Salad, Hickory BBQ Chicken Pie, Custom Salad]
carousel-restaurant-los-angeles, [Cabbage Salad, House Cabbage Salad, Fattoush Salad, Muhammara, Falafel, Lentil Soup, Fatayer, Mutabbal, Chicken Shawarma, Armenian Salad]
